Tauji ,Khata,Plot, Location , Area(Dismil), Schedule A, Schedule B , Status
4656,697,5845,Tedhaki Me dakhin bhar,25,0,25,Seprate
4656,702,5846,Tedhki me dakhin bhar,9,0,9,Seprate
4964,854,5174,Boringwala Bangla Kua wala,3,1.5,1.5,joint
4964,854,1460,"Milan 2,3 Purab bhar sanjay jimme",89,0,89,Seprate
4964,854,2625,Lal Mochi Purab Bhar,21,21,0,Seprate
4964,854,2628,Bichla Moriyar se paschim,24.5,24.5,0,Seprate
4964,854,1465,Lal Mochi Purab Bhar,15,0,15,Seprate
4964,854,1470,Lal Mochi purab bhar,19,0,19,Seprate
4656,600,5853,Ahara Me Lal Kesar,19,19,0,Seprate
4656,487,5865,Ahara Me Tedhaki me,32,0,32,Seprate
4656,487,5856,Lohara Wala Me kuch badlain,38,0,38,Seprate
4656,487,5887,Nav Bigahwa Ahara Me,28,28,0,Seprate
4429,174,4407,Ghoghan Ghar Ke Paschim,8,8,0,Seprate
4429,174,4411,Dhibra Par,6,6,0,Seprate
4429,174,4451,Gowari Rasta Ke Dakshin,22,11,11,Seprate
4656,236,608,Dulla Ji Wala Pain Kinare,41,16.5,24.5,Seprate
4656,275,607,Dulla Ji Pain Kinare,8,8,0,Seprate
4656,275,48,Nimheta Uttarwari Geda,44,27.5,16.5,Seprate
4656,275,56,Nimheta Uttarwari Geda,11,0,11,Seprate
4656,723,5194,Ganj Wala Paschim(RCH),5.5,0,5.5,Seprate
4656,448,5170,Jagpati Singh Wala Hata,11,5.5,5.5,Joint
4656,559,5207,Purani Khalihan,9.75,9.75,0,Seprate
4429,173,5337,Ganaura wala Sabji hata,2,1,1,Joint
4656,723,5121,Dustoli Andar Babul ped wala,10,5,5,Joint
4656,692,632,Kiyari me,7.5,0,7.5,Seprate
4656,487,5881,Ahara Lohra me geda me mia ji,50,25,25,Seprate
4429,173,4449,Goari gano me,15,7.5,7.5,Joint
*,*,*,Total Area,4150.25,2075.50,2074.75,*
