तौजी नo,खाता नo,खसरा नo, लोकेशन , एरिया(डीo), Schedule A, Schedule B ,Group No, Status,Note A,Note B
4429,174,54,Nimheta Bichla Geda,55,48.5,6.5,2,Done
4429,174,615,Kiyari me,35,35,0,3,Done
4429,174,77,Nimheta Utarwari geda,70,0,70,1,Done
4429,174,92,Madhwa Siwan Par,47,23.5,23.5,Road,Done
4429,174,82,Nimheta,68,68,0,1,Done
4429,174,560,Arnag Pain Ke paschim,61,30.5,30.5,Road,Done
4429,174,41,Bichla Geda Ke purab,107,107,0,2,Done
4429,174,4209,Arnag Sadak Kinare,38,17.75,20.25,Road,Done
4429,174,4208,Arnag Sadak Kinare,2.5,2.5,0,Road,Done
4424,17,5175,Bangla Ke aage,3,1.5,1.5,0,Done
4429,90,50,Nimheta Nav Bigahwa Utarwari geda,34,0,34,1,Done
4429,91,47,Nav Bigahwa Madhwa Sevan(,404,255.5,148.5,1,Done
4429,104,51,Nav Bigahwa Nimheta Utarwadi geda,73,0,73,1,Done
4429,112,59,Bichla Geda Nimheta Purab Dakshin,73,0,73,2,Done
4429,155,57,Nimheta Bichla Geda (CH),35,0,35,2,Done,,35
4429,172,76,Nav Bigahwa Siwan Par Nimheta (CH),17,0,17,1,Done,,17
4429,172,625,Jhur Tar Tal Keshar,15,0,15,3,Done
4429,172,4409,Pandit Ganj,10.5,0,10.5,9,Done
4429,172,4252,Taand Par Mitti Katan,10.5,5.25,5.25,11,Done
4429,173,4387,Mitha Kua Se dakhsin,40,0,40,9,Done
4429,173,4350,Jadu Singh Fulwari Ke pass,28,0,28,9,Done
4429,173,4350,Jadu Singh Fulwari Ke pass,4,0,4,9,Done
4429,173,4378,Dhibra Pakad Tar,51.5,41.75,9.75,9,Done
4429,173,4390,Ram Lakhan Pasi Ghar Ke samne,37,37,0,9,Done
4429,176,75,Nav Bigahwa Nimheta Me,42,30.5,11.5,1,Done
4429,213,257,Ahari Se purab Nimheta,39,19.5,19.5,2,Done
4429,226,55,Nichla Geda Nimheta (CH),62,0,62,2,Done,,62
4429,272,58,Nimheta Bichla Geda,27,0,27,2,Done
4429,272,37,Pandi Ji Ke Boring Ke bagal me,48,48,0,2,Done
4430,304,5161,Bangla Se paschim,8,4,4,16,Done
4430,304,5162,Bangla Se Paschim,10,5,5,16,Done
4430,397,5159,Bisundev Ke Piche,17,17,0,12,Done
4656,439,5191,Pokhra me(CH),24.5,24.5,0,15,Done,25.5
4656,444,4144,Market Chamartoli,40,20,20,Road,Done
4656,445,661,Bharti Ji Se Badlain,91,33,58,4,Done
